treshold, rate
939, 20608.400000
942, 20457.900000
945, 20241.400000
948, 20228.200000
951, 20043.400000
954, 19999.900000
957, 19873.800000
960, 19663.500000
963, 19577.600000
966, 19563.100000
969, 19495.500000
972, 19407.700000
975, 19368.000000
978, 19283.100000
981, 19233.000000
984, 19057.000000
987, 19161.300000
990, 18924.800000
993, 18884.900000
996, 18850.900000
999, 18826.900000
1002, 18728.900000
1005, 18700.800000
1008, 18677.400000
1011, 18667.000000
1014, 18591.800000
1017, 18478.700000
1020, 18479.100000
1023, 18432.000000
1026, 18403.900000
1029, 18333.200000
1032, 18316.100000
1035, 18241.000000
1038, 18229.500000
1041, 18160.500000
1044, 18097.000000
1047, 18150.300000
1050, 18089.600000
1053, 17947.200000
1056, 17952.500000
1059, 17981.000000
1062, 17899.700000
1065, 17921.600000
1068, 17853.100000
1071, 17662.800000
1074, 17636.200000
1077, 17723.700000
1080, 17603.000000
1083, 17576.300000
1086, 17564.700000
1089, 17514.700000
1092, 17471.800000
1095, 17396.300000
1098, 17436.600000
1101, 17344.600000
1104, 17262.700000
1107, 17242.100000
1110, 17256.700000
1113, 17159.500000
1116, 17098.900000
1119, 17120.600000
1122, 17068.400000
1125, 16996.800000
1128, 16958.600000
1131, 16920.400000
1134, 16879.800000
1137, 16879.900000
1140, 16784.900000
1143, 16745.200000
1146, 16668.000000
1149, 16663.200000
1152, 16686.800000
1155, 16680.700000
1158, 16544.400000
1161, 16578.400000
1164, 16421.200000
1167, 16453.200000
1170, 16403.900000
1173, 16369.900000
1176, 16264.300000
1179, 16316.100000
1182, 16263.500000
1185, 16262.400000
1188, 16197.400000
1191, 16191.700000
1194, 16156.900000
1197, 16056.500000
1200, 15976.900000
1203, 15993.800000
1206, 16005.300000
1209, 15912.600000
1212, 15873.200000
1215, 15825.000000
1218, 15768.500000
1221, 15728.300000
1224, 15710.900000
1227, 15658.000000
1230, 15665.200000
1233, 15621.300000
1236, 15564.700000
1239, 15581.800000
1242, 15493.400000
1245, 15494.700000
1248, 15391.300000
1251, 15366.400000
1254, 15281.200000
1257, 15232.600000
1260, 15203.400000
1263, 15185.900000
1266, 15108.800000
1269, 15173.700000
1272, 15038.000000
1275, 15077.300000
1278, 14967.900000
1281, 14985.000000
1284, 14914.600000
1287, 14909.500000
1290, 14827.100000
1293, 14752.000000
1296, 14814.400000
1299, 14760.200000
1302, 14670.900000
1305, 14745.500000
1308, 14701.800000
1311, 14562.900000
1314, 14568.500000
1317, 14524.500000
1320, 14452.400000
1323, 14511.500000
1326, 14367.500000
1329, 14390.400000
1332, 14275.700000
1335, 14367.300000
1338, 14254.500000
1341, 14234.200000
1344, 14211.400000
1347, 14193.300000
1350, 14163.500000
1353, 14055.600000
1356, 14035.300000
1359, 13992.000000
1362, 14019.100000
1365, 13937.900000
1368, 13839.700000
1371, 13901.000000
1374, 13745.000000
1377, 13809.200000
1380, 13712.700000
1383, 13731.700000
1386, 13741.500000
1389, 13681.100000
1392, 13580.800000
1395, 13591.700000
1398, 13476.100000
1401, 13502.000000
1404, 13487.200000
1407, 13469.600000
1410, 13413.300000
1413, 13319.000000
1416, 13341.200000
1419, 13282.300000
1422, 13208.700000
1425, 13169.700000
1428, 13164.500000
1431, 13157.800000
1434, 13053.700000
1437, 13038.300000
1440, 12978.600000
1443, 12970.800000
1446, 12861.600000
1449, 12942.200000
1452, 12928.400000
1455, 12857.500000
1458, 12811.500000
1461, 12810.100000
1464, 12776.100000
1467, 12648.400000
1470, 12694.400000
1473, 12617.500000
1476, 12561.100000
1479, 12561.900000
1482, 12526.800000
1485, 12454.200000
1488, 12392.600000
1491, 12360.000000
1494, 12397.800000
1497, 12330.300000
1500, 12332.200000
1503, 12271.700000
1506, 12257.900000
1509, 12191.400000
1512, 12161.900000
1515, 12106.300000
1518, 12101.400000
1521, 12001.300000
1524, 12033.600000
1527, 11962.900000
1530, 11966.200000
1533, 11855.900000
1536, 11924.900000
1539, 11806.800000
1542, 11794.800000
1545, 11766.800000
1548, 11771.600000
1551, 11741.900000
1554, 11672.300000
1557, 11587.900000
1560, 11601.000000
1563, 11535.100000
1566, 11568.800000
1569, 11502.800000
1572, 11483.300000
1575, 11455.300000
1578, 11417.800000
1581, 11402.400000
1584, 11318.300000
1587, 11306.700000
1590, 11251.800000
1593, 11254.600000
1596, 11251.700000
1599, 11180.300000
1602, 11211.300000
1605, 11147.300000
1608, 11115.000000
1611, 11089.100000
1614, 11049.700000
1617, 11102.900000
1620, 11020.300000
1623, 10939.100000
1626, 10951.900000
1629, 10957.600000
1632, 10873.900000
1635, 10847.900000
1638, 10835.600000
1641, 10833.500000
1644, 10760.900000
1647, 10780.600000
1650, 10722.200000
1653, 10692.400000
1656, 10658.700000
1659, 10568.500000
1662, 10634.700000
1665, 10590.400000
1668, 10603.500000
1671, 10553.300000
1674, 10491.900000
1677, 10487.700000
1680, 10385.700000
1683, 10434.800000
1686, 10414.000000
1689, 10330.900000
1692, 10305.300000
1695, 10259.200000
1698, 10321.800000
1701, 10194.100000
1704, 10242.900000
1707, 10158.500000
1710, 10134.700000
1713, 10195.100000
1716, 10086.200000
1719, 10058.200000
1722, 10049.600000
1725, 10027.500000
1728, 10028.600000
1731, 9983.000000
1734, 9975.300000
1737, 9908.000000
1740, 9839.000000
